question,answer,context
"Justify with an example how in some circumstances, we wish to distinguish among sets of users rather than individual users","In some circumstances, we wish to distinguish among sets of users rather than individual users .For example, the owner of a le on a UNIX system may be allowed to issue all operations on that le, whereas a selected set of users may be allowed only to read the le","When an ID needs to be readable by a user, it is translated back to the user name via the user name list. In some circumstances, we wish to distinguish among sets of users rather than individual users. For example, the owner of a le on a UNIX system may be allowed to issue all operations on that le, whereas a selected set of users may be allowed only to read the le. To accomplish this, we need to dene a group name and the set of users belonging to that group. Group functionality can be implemented as a system-wide list of group names and group identiers. A user can be in one or more groups, depending on operating-system design decisions. The users group IDs are also included in every associated process and thread"
"Justify with an example how one use of a hash function is to implement a hash map, which associates (or maps) [key:value] pairs using a hash function","One use of a hash function is to implement a hash map, which associates (or maps) [key:value] pairs using a hash function .For example, we can map the key operating to the value system","We can accommodate this hash collision by having a linked list at that table location that contains all of the items with the same hash value. Of course, the more collisions there are, the less efcient the hash function is. One use of a hash function is to implement a hash map, which associates (or maps) [key:value] pairs using a hash function. For example, we can map the key operating to the value system. Once the mapping is established, we can apply the hash function to the key to obtain the value from the hash map (Figure 1.17). For example, suppose that a user name is mapped to a password. Password authentication then proceeds as follows: a user enters his user name and password. The hash function is applied to the user name, which is then used to retrieve the password. The retrieved password is then compared with the password entered by the user for authentication"
Justify with an example how a bitmap is a string of n binary digits that can be used to represent the status of n items,"A bitmap is a string of n binary digits that can be used to represent the status of n items .For example, suppose we have several resources, and the availability of each resource is indicated by the value of a binary digit: 0 means that the resource is available, while 1 indicates that it is unavailable (or vice-versa)","Password authentication then proceeds as follows: a user enters his user name and password. The hash function is applied to the user name, which is then used to retrieve the password. The retrieved password is then compared with the password entered by the user for authentication. A bitmap is a string of n binary digits that can be used to represent the status of n items. For example, suppose we have several resources, and the availability of each resource is indicated by the value of a binary digit: 0 means that the resource is available, while 1 indicates that it is unavailable (or vice-versa). The value of the i th position in the bitmap is associated with the i th resource. As an example, consider the bitmap shown below: Resources 2, 4, 5, 6, and 8 are unavailable; resources 0, 1, 3, and 7 are available. The power of bitmaps becomes apparent when we consider their space efciency. If we were to use an eight-bit Boolean value instead of a single bit, the resulting data structure would be eight times larger. Thus, bitmaps are commonly used when there is a need to represent the availability of a large number of resources. Disk drives provide a nice illustration. A medium-sized disk drive might be divided into several thousand individual units, called disk blocks. A bitmap can be used to indicate the availability of each disk block"
Justify with an example how the continuing advent of new technologies brings about new forms of networks,"The continuing advent of new technologies brings about new forms of networks .For example, a metropolitan-area network (MAN) could link buildings within a city","A local-area network (LAN) connects computers within a room, a building, or a campus. A wide-area network (WAN) usually links buildings, cities, or countries. A global company may have a WAN to connect its ofces worldwide, for example. These networks may run one protocol or several protocols. The continuing advent of new technologies brings about new forms of networks. For example, a metropolitan-area network (MAN) could link buildings within a city. BlueTooth and 802.11 devices use wireless technology to communicate over a distance of several feet, in essence creating a personal-area network (PAN) between a phone and a headset or a smartphone and a desktop computer. The media to carry networks are equally varied. They include copper wires, ber strands, and wireless transmissions between satellites, microwave dishes, and radios. When computing devices are connected to cellular phones, they create a network. Even very short-range infrared communication can be used for networking. At a rudimentary level, whenever computers communicate, they use or create a network. These networks also vary in their performance and reliability"
Justify with an example how emulation is used when the source CPU type is different from the target CPU type,"Emulation is used when the source CPU type is different from the target CPU type .For example, when Apple switched from the IBM Power CPU to the Intel x86 CPU for its desktop and laptop computers, it included an emulation facility called Rosetta, which allowed applications compiled for the IBM CPU to run on the Intel CPU","Virtualization is a technology that allows operating systems to run as applications within other operating systems. At rst blush, there seems to be little reason for such functionality. But the virtualization industry is vast and growing, which is a testament to its utility and importance. Broadly speaking, virtualization is one member of a class of software that also includes emulation. Emulation is used when the source CPU type is different from the target CPU type. For example, when Apple switched from the IBM Power CPU to the Intel x86 CPU for its desktop and laptop computers, it included an emulation facility called Rosetta, which allowed applications compiled for the IBM CPU to run on the Intel CPU. That same concept can be extended to allow an entire operating system written for one platform to run on another. Emulation comes at a heavy price, however. Every machine-level instruction that runs natively on the source system must be translated to the equivalent function on the target system, frequently resulting in several target instructions. If the source and target CPUs have similar performance levels, the emulated code can run much slower than the native code. A common example of emulation occurs when a computer language is not compiled to native code but instead is either executed in its high-level form or translated to an intermediate form. This is known as interpretation"
"Justify with an example how on laptops and desktops, a VMM allows the user to install multiple operating systems for exploration or to run applications written for operating systems other than the native host","On laptops and desktops, a VMM allows the user to install multiple operating systems for exploration or to run applications written for operating systems other than the native host .For example, an Apple laptop running Mac OS X on the x86 CPU can run a Windows guest to allow execution of Windows applications","That application ran one or more guest copies of Windows or other native processes processes processes programming interface kernel VM1 kernel VM2 virtual machine manager hardware (b) x86 operating systems, each running its own applications. (See Figure 1.20.) Windows was the host operating system, and the VMware application was the virtual machine manager VMM. The VMM runs the guest operating systems, manages their resource use, and protects each guest from the others. Even though modern operating systems are fully capable of running multiple applications reliably, the use of virtualization continues to grow. On laptops and desktops, a VMM allows the user to install multiple operating systems for exploration or to run applications written for operating systems other than the native host. For example, an Apple laptop running Mac OS X on the x86 CPU can run a Windows guest to allow execution of Windows applications. Companies writing software for multiple operating systems can use virtualization to run all of those operating systems on a single physical server for development, testing, and debugging. Within data centers, virtualization has become a common method of executing and managing computing environments. VMMs like VMware, ESX, and Citrix XenServer no longer run on host operating systems but rather are the hosts. Full details of the features and implementation of virtualization are found in Chapter 16. Cloud computing is a type of computing that delivers computing, storage, and even applications as a service across a network. In some ways, its a logical extension of virtualization, because it uses virtualization as a base for its functionality. For example, the Amazon Elastic Compute Cloud (EC2) facility has thousands of servers, millions of virtual machines, and petabytes of storage available for use by anyone on the Internet. Users pay per month based on how much of those resources they use"
"Justify with an example how in some ways, its a logical extension of virtualization, because it uses virtualization as a base for its functionality","In some ways, its a logical extension of virtualization, because it uses virtualization as a base for its functionality .For example, the Amazon Elastic Compute Cloud (EC2) facility has thousands of servers, millions of virtual machines, and petabytes of storage available for use by anyone on the Internet","Even though modern operating systems are fully capable of running multiple applications reliably, the use of virtualization continues to grow. On laptops and desktops, a VMM allows the user to install multiple operating systems for exploration or to run applications written for operating systems other than the native host. For example, an Apple laptop running Mac OS X on the x86 CPU can run a Windows guest to allow execution of Windows applications. Companies writing software for multiple operating systems can use virtualization to run all of those operating systems on a single physical server for development, testing, and debugging. Within data centers, virtualization has become a common method of executing and managing computing environments. VMMs like VMware, ESX, and Citrix XenServer no longer run on host operating systems but rather are the hosts. Full details of the features and implementation of virtualization are found in Chapter 16. Cloud computing is a type of computing that delivers computing, storage, and even applications as a service across a network. In some ways, its a logical extension of virtualization, because it uses virtualization as a base for its functionality. For example, the Amazon Elastic Compute Cloud (EC2) facility has thousands of servers, millions of virtual machines, and petabytes of storage available for use by anyone on the Internet. Users pay per month based on how much of those resources they use. There are actually many types of cloud computing, including the following: Public cloud a cloud available via the Internet to anyone willing to pay for the services Private clouda cloud run by a company for that companys own use Hybrid cloud a cloud that includes both public and private cloud components Software as a service (SaaS)one or more applications (such as word processors or spreadsheets) available via the Internet Platform as a service (PaaS)a software stack ready for application use via the Internet (for example, a database server) Infrastructure as a service (IaaS)servers or storage available over the Internet (for example, storage available for making backup copies of production data) These cloud-computing types are not discrete, as a cloud computing environment may provide a combination of several types. For example, an organization may provide both SaaS and IaaS as a publicly available service"
"Justify with an example how sometimes, licenses are not mutually exclusive and cross-pollination occurs, allowing rapid improvements in operating-system projects","Sometimes, licenses are not mutually exclusive and cross-pollination occurs, allowing rapid improvements in operating-system projects .For example, several major components of OpenSolaris have been ported to BSD UNIX","The free software movement is driving legions of programmers to create thousands of open-source projects, including operating systems. Sites like http://freshmeat.net/ and http://distrowatch.com/ provide portals to many of these projects. As we stated earlier, open-source projects enable students to use source code as a learning tool. They can modify programs and test them, help nd and x bugs, and otherwise explore mature, full-featured operating systems, compilers, tools, user interfaces, and other types of programs. The availability of source code for historic projects, such as Multics, can help students to understand those projects and to build knowledge that will help in the implementation of new projects. GNU/Linux and BSD UNIX are all open-source operating systems, but each has its own goals, utility, licensing, and purpose. Sometimes, licenses are not mutually exclusive and cross-pollination occurs, allowing rapid improvements in operating-system projects. For example, several major components of OpenSolaris have been ported to BSD UNIX. The advantages of free software and open sourcing are likely to increase the number and quality of open-source projects, leading to an increase in the number of individuals and companies that use these projects. 1.13 Summary An operating system is software that manages the computer hardware, as well as providing an environment for application programs to run. Perhaps the most visible aspect of an operating system is the interface to the computer system it provides to the human user"
"Justify with an example how In addition, the rise of virtualization as a mainstream (and frequently free) computer function makes it possible to run many operating systems on top of one core system","In addition, the rise of virtualization as a mainstream (and frequently free) computer function makes it possible to run many operating systems on top of one core system .For example, VMware ( http://www.vmware.com) provides a free player for Windows on which hundreds of free virtual appliances can run","Operating systems that are no longer commercially viable have been open-sourced as well, enabling us to study how systems operated in a time of fewer CPU, memory, and storage resources. An extensive but incomplete list of open-source operating-system projects is available from http://dmoz.org/Computers/Software/Operating Systems/Open Source/. In addition, the rise of virtualization as a mainstream (and frequently free) computer function makes it possible to run many operating systems on top of one core system. For example, VMware ( http://www.vmware.com) provides a free player for Windows on which hundreds of free virtual appliances can run. Virtualbox ( http://www.virtualbox.com) provides a free, opensource virtual machine manager on many operating systems. Using such tools, students can try out hundreds of operating systems without dedicated hardware. In some cases, simulators of specic hardware are also available, allowing the operating system to run on native hardware, all within the connes of a modern computer and modern operating system. For example, a DECSYSTEM-20 simulator running on Mac OS X can boot TOPS-20, load the source tapes, and modify and compile a new TOPS-20 kernel. An interested student can search the Internet to nd the original papers that describe the operating system, as well as the original manuals"
"Justify with an example how in some cases, simulators of specic hardware are also available, allowing the operating system to run on native hardware, all within the connes of a modern computer and modern operating system","In some cases, simulators of specic hardware are also available, allowing the operating system to run on native hardware, all within the connes of a modern computer and modern operating system .For example, a DECSYSTEM-20 simulator running on Mac OS X can boot TOPS-20, load the source tapes, and modify and compile a new TOPS-20 kernel","In addition, the rise of virtualization as a mainstream (and frequently free) computer function makes it possible to run many operating systems on top of one core system. For example, VMware ( http://www.vmware.com) provides a free player for Windows on which hundreds of free virtual appliances can run. Virtualbox ( http://www.virtualbox.com) provides a free, opensource virtual machine manager on many operating systems. Using such tools, students can try out hundreds of operating systems without dedicated hardware. In some cases, simulators of specic hardware are also available, allowing the operating system to run on native hardware, all within the connes of a modern computer and modern operating system. For example, a DECSYSTEM-20 simulator running on Mac OS X can boot TOPS-20, load the source tapes, and modify and compile a new TOPS-20 kernel. An interested student can search the Internet to nd the original papers that describe the operating system, as well as the original manuals. The advent of open-source operating systems has also made it easier to make the move from student to operating-system developer. With some knowledge, some effort, and an Internet connection, a student can even create a new operating-system distribution. Just a few years ago, it was difcult or impossible to get access to source code. Now, such access is limited only by how much interest, time, and disk space a student has"
"Justify with an example how on systems with multiple command interpreters to choose from, the interpreters are known as shells","On systems with multiple command interpreters to choose from, the interpreters are known as shells .For example, on UNIX and Linux systems, a user may choose among several different shells, including the Bourne shell, C shell, Bourne-Again shell, Korn shell, and others","User and Operating-System Interface We mentioned earlier that there are several ways for users to interface with the operating system. Here, we discuss two fundamental approaches. One provides a command-line interface, or command interpreter, that allows users to directly enter commands to be performed by the operating system. The other allows users to interface with the operating system via a graphical user interface, or GUI. Some operating systems include the command interpreter in the kernel. Others, such as Windows and UNIX, treat the command interpreter as a special program that is running when a job is initiated or when a user rst logs on (on interactive systems). On systems with multiple command interpreters to choose from, the interpreters are known as shells. For example, on UNIX and Linux systems, a user may choose among several different shells, including the Bourne shell, C shell, Bourne-Again shell, Korn shell, and others. Third-party shells and free user-written shells are also available. Most shells provide similar functionality, and a users choice of which shell to use is generally based on personal preference. Figure 2.2 shows the Bourne shell command interpreter being used on Solaris 10. The main function of the command interpreter is to get and execute the next user-specied command. Many of the commands given at this level manipulate les: create, delete, list, print, copy, execute, and so on. The MS-DOS and UNIX shells operate in this way. These commands can be implemented in two general ways"
"Justify with an example how in one approach, the command interpreter itself contains the code to execute the command","In one approach, the command interpreter itself contains the code to execute the command .For example, a command to delete a le may cause the command interpreter to jump to a section of its code that sets up the parameters and makes the appropriate system call","The main function of the command interpreter is to get and execute the next user-specied command. Many of the commands given at this level manipulate les: create, delete, list, print, copy, execute, and so on. The MS-DOS and UNIX shells operate in this way. These commands can be implemented in two general ways. In one approach, the command interpreter itself contains the code to execute the command. For example, a command to delete a le may cause the command interpreter to jump to a section of its code that sets up the parameters and makes the appropriate system call. In this case, the number of commands that can be given determines the size of the command interpreter, since each command requires its own implementing code. An alternative approachused by UNIX, among other operating systems implements most commands through system programs. In this case, the command interpreter does not understand the command in any way; it merely uses the command to identify a le to be loaded into memory and executed"
"Justify with an example how further, commandline interfaces usually make repetitive tasks easier, in part because they have their own programmability","Further, commandline interfaces usually make repetitive tasks easier, in part because they have their own programmability .For example, if a frequent task requires a set of command-line steps, those steps can be recorded into a le, and that le can be run just like a program","Traditionally, UNIX systems have been dominated by command-line interfaces. Various GUI interfaces are available, however. These include the Common Desktop Environment (CDE) and X-Windows systems, which are common on commercial versions of UNIX, such as Solaris and IBMs AIX system. In addition, there has been signicant development in GUI designs from various open-source projects, such as K Desktop Environment (or KDE) and the GNOME desktop by the GNU project. Both the KDE and GNOME desktops run on Linux and various UNIX systems and are available under open-source licenses, which means their source code is readily available for reading and for modication under specic license terms. 2.2 User and Operating-System Interface Choice of Interface The choice of whether to use a command-line or GUI interface is mostly one of personal preference. System administrators who manage computers and power users who have deep knowledge of a system frequently use the command-line interface. For them, it is more efcient, giving them faster access to the activities they need to perform. Indeed, on some systems, only a subset of system functions is available via the GUI, leaving the less common tasks to those who are command-line knowledgeable. Further, commandline interfaces usually make repetitive tasks easier, in part because they have their own programmability. For example, if a frequent task requires a set of command-line steps, those steps can be recorded into a le, and that le can be run just like a program. The program is not compiled into executable code but rather is interpreted by the command-line interface. These shell scripts are very common on systems that are command-line oriented, such as UNIX and Linux. In contrast, most Windows users are happy to use the Windows GUI environment and almost never use the MS-DOS shell interface. The various changes undergone by the Macintosh operating systems provide a nice study in contrast. Historically, Mac OS has not provided a command-line interface, always requiring its users to interface with the operating system using its GUI"
